origin,position,horizon,ordering,budget,n,picks,hits,points_captured,points_per_slot,misses,busts,boundary_ties,fractional_credit_applied
2016,WR,23,rank_origin_points,2,54,2,1.0,161.9,80.95,7.0,1.0,0,False
2017,QB,23,rank_origin_points,2,10,2,0.0,0.0,0.0,1.0,2.0,0,False
2017,RB,23,rank_origin_points,2,34,2,2.0,348.5,174.25,5.0,0.0,0,False
2017,TE,23,rank_origin_points,2,33,2,1.0,382.9,191.45,3.0,0.0,0,False
2017,WR,23,rank_origin_points,2,59,2,2.0,592.8,296.4,10.0,0.0,0,False
2018,QB,23,rank_origin_points,2,8,2,0.0,2.1,1.05,0.0,1.0,0,False
2018,RB,23,rank_origin_points,2,37,2,0.0,123.2,61.6,3.0,0.0,0,False
2018,TE,23,rank_origin_points,2,25,2,0.0,132.2,66.1,6.0,0.0,0,False
2018,WR,23,rank_origin_points,2,48,2,2.0,428.1,214.05,3.0,0.0,0,False
2019,QB,23,rank_origin_points,2,9,2,0.0,0.0,0.0,0.0,2.0,0,False
2019,RB,23,rank_origin_points,2,39,2,2.0,622.5,311.25,6.0,0.0,0,False
2019,TE,23,rank_origin_points,2,30,2,2.0,642.3000000000001,321.15000000000003,3.0,0.0,0,False
2019,WR,23,rank_origin_points,2,46,2,1.0,289.5,144.75,8.0,0.0,0,False
2020,QB,23,rank_origin_points,2,10,2,0.0,0.0,0.0,0.0,2.0,0,False
2020,RB,23,rank_origin_points,2,39,2,1.0,313.7,156.85,4.0,0.0,0,False
2020,TE,23,rank_origin_points,2,33,2,0.0,198.6,99.3,3.0,0.0,0,False
2020,WR,23,rank_origin_points,2,50,2,1.0,518.3,259.15,5.0,0.0,0,False
2021,QB,23,rank_origin_points,2,14,2,1.0,532.0,266.0,0.0,0.0,0,False
2021,RB,23,rank_origin_points,2,34,2,1.0,397.98,198.99,2.0,0.0,0,False
2021,TE,23,rank_origin_points,2,32,2,0.0,141.2,70.6,1.0,0.0,0,False
2021,WR,23,rank_origin_points,2,55,2,0.0,52.6,26.3,4.0,1.0,0,False
2022,QB,23,rank_origin_points,2,13,2,0.0,21.48,10.74,1.0,1.0,0,False
2022,RB,23,rank_origin_points,2,35,2,1.0,258.2,129.1,2.0,1.0,0,False
2022,TE,23,rank_origin_points,2,34,2,1.0,304.9,152.45,5.0,0.0,0,False
2022,WR,23,rank_origin_points,2,58,2,1.0,450.8,225.4,6.0,0.0,0,False
2014,QB,23,rank_origin_points,1,7,1,0.0,0.0,0.0,3.0,1.0,0,False
2014,RB,23,rank_origin_points,1,36,1,1.0,191.6,191.6,11.0,0.0,0,False
2014,TE,23,rank_origin_points,1,28,1,0.0,8.9,8.9,3.0,0.0,0,False
2014,WR,23,rank_origin_points,1,47,1,0.0,57.8,57.8,7.0,0.0,0,False
2015,QB,23,rank_origin_points,1,9,1,0.0,2.7600000000000002,2.7600000000000002,2.0,0.0,0,False
2015,RB,23,rank_origin_points,1,31,1,1.0,535.5999999999999,535.5999999999999,6.0,0.0,0,False
2015,TE,23,rank_origin_points,1,28,1,0.0,0.0,0.0,4.0,1.0,0,False
2015,WR,23,rank_origin_points,1,50,1,1.0,305.1,305.1,8.0,0.0,0,False
2016,QB,23,rank_origin_points,1,12,1,1.0,283.54,283.54,1.0,0.0,0,False
2016,RB,23,rank_origin_points,1,30,1,1.0,445.26,445.26,4.0,0.0,0,False
2016,TE,23,rank_origin_points,1,30,1,0.0,112.0,112.0,4.0,0.0,0,False
2016,WR,23,rank_origin_points,1,54,1,0.0,0.0,0.0,8.0,1.0,0,False
2017,QB,23,rank_origin_points,1,10,1,0.0,0.0,0.0,1.0,1.0,0,False
2017,RB,23,rank_origin_points,1,34,1,1.0,178.3,178.3,6.0,0.0,0,False
2017,TE,23,rank_origin_points,1,33,1,0.0,65.4,65.4,4.0,0.0,0,False
2017,WR,23,rank_origin_points,1,59,1,1.0,303.6,303.6,11.0,0.0,0,False
2018,QB,23,rank_origin_points,1,8,1,0.0,2.1,2.1,0.0,0.0,0,False
2018,RB,23,rank_origin_points,1,37,1,0.0,54.7,54.7,3.0,0.0,0,False
2018,TE,23,rank_origin_points,1,25,1,0.0,55.8,55.8,6.0,0.0,0,False
2018,WR,23,rank_origin_points,1,48,1,1.0,172.2,172.2,4.0,0.0,0,False
2019,QB,23,rank_origin_points,1,9,1,0.0,0.0,0.0,0.0,1.0,0,False
2019,RB,23,rank_origin_points,1,39,1,1.0,213.0,213.0,7.0,0.0,0,False
2019,TE,23,rank_origin_points,1,30,1,1.0,360.1,360.1,4.0,0.0,0,False
2019,WR,23,rank_origin_points,1,46,1,0.0,41.0,41.0,9.0,0.0,0,False
2020,QB,23,rank_origin_points,1,10,1,0.0,0.0,0.0,0.0,1.0,0,False
2020,RB,23,rank_origin_points,1,39,1,1.0,210.0,210.0,4.0,0.0,0,False
2020,TE,23,rank_origin_points,1,33,1,0.0,84.3,84.3,3.0,0.0,0,False
2020,WR,23,rank_origin_points,1,50,1,0.0,71.0,71.0,6.0,0.0,0,False
2021,QB,23,rank_origin_points,1,14,1,0.0,0.38,0.38,1.0,0.0,0,False
2021,RB,23,rank_origin_points,1,34,1,0.0,149.48000000000002,149.48000000000002,3.0,0.0,0,False
2021,TE,23,rank_origin_points,1,32,1,0.0,141.2,141.2,1.0,0.0,0,False
2021,WR,23,rank_origin_points,1,55,1,0.0,0.0,0.0,4.0,1.0,0,False
2022,QB,23,rank_origin_points,1,13,1,0.0,0.0,0.0,1.0,1.0,0,False
